time,EG,EU,GU
2020-08-20 02:20:00,0.90443,1.18408,1.30916
2020-08-20 02:21:00,0.90443,1.18413,1.30925
2020-08-20 02:22:00,0.9043200000000001,1.18417,1.3094
2020-08-20 02:23:00,0.90435,1.18415,1.30931
2020-08-20 02:24:00,0.9043399999999999,1.18415,1.30929
2020-08-20 02:25:00,0.9043200000000001,1.18405,1.30921
2020-08-20 02:26:00,0.9042399999999999,1.18385,1.30912
2020-08-20 02:27:00,0.90427,1.1838,1.30904
2020-08-20 02:28:00,0.9043,1.18384,1.30905
2020-08-20 02:29:00,0.9042399999999999,1.18389,1.30916
2020-08-20 02:30:00,0.90422,1.18384,1.3091
2020-08-20 02:31:00,0.9042899999999999,1.18388,1.30908
2020-08-20 02:32:00,0.9043399999999999,1.18396,1.3091
2020-08-20 02:33:00,0.90435,1.18418,1.30932
2020-08-20 02:34:00,0.9043399999999999,1.18411,1.30926
2020-08-20 02:35:00,0.9043899999999999,1.18416,1.30926
2020-08-20 02:36:00,0.9043899999999999,1.1841,1.30918
2020-08-20 02:37:00,0.9043700000000001,1.1841,1.30922
2020-08-20 02:38:00,0.9042899999999999,1.18419,1.30945
2020-08-20 02:39:00,0.90423,1.18409,1.30939
2020-08-20 02:40:00,0.9041899999999999,1.18385,1.30917
2020-08-20 02:41:00,0.90423,1.18375,1.30902
2020-08-20 02:42:00,0.9042399999999999,1.18385,1.3091
2020-08-20 02:43:00,0.90427,1.18377,1.30899
2020-08-20 02:44:00,0.9042899999999999,1.18367,1.30883
2020-08-20 02:45:00,0.90425,1.18375,1.30901
2020-08-20 02:46:00,0.9042100000000001,1.18355,1.30886
2020-08-20 02:47:00,0.90427,1.18362,1.30882
2020-08-20 02:48:00,0.9042399999999999,1.18367,1.30894
2020-08-20 02:49:00,0.90428,1.18377,1.30898
2020-08-20 02:50:00,0.9043100000000001,1.18383,1.30898
2020-08-20 02:51:00,0.90435,1.1839,1.30903
2020-08-20 02:52:00,0.90441,1.18392,1.309
2020-08-20 02:53:00,0.9044200000000001,1.18418,1.30923
2020-08-20 02:54:00,0.9044200000000001,1.18412,1.30915
2020-08-20 02:55:00,0.9044200000000001,1.18416,1.30921
2020-08-20 02:56:00,0.90443,1.18411,1.30913
2020-08-20 02:57:00,0.90449,1.18416,1.30906
2020-08-20 02:58:00,0.90448,1.18425,1.30919
2020-08-20 02:59:00,0.90446,1.1843,1.30928
2020-08-20 03:00:00,0.9044700000000001,1.18443,1.30944
2020-08-20 03:01:00,0.90445,1.18424,1.30922
2020-08-20 03:02:00,0.90438,1.18432,1.30939
2020-08-20 03:03:00,0.90433,1.18427,1.3094
2020-08-20 03:04:00,0.9043200000000001,1.18428,1.30952
2020-08-20 03:05:00,0.9043700000000001,1.18446,1.30959
2020-08-20 03:06:00,0.90428,1.18445,1.3097
2020-08-20 03:07:00,0.9042899999999999,1.18438,1.3096
2020-08-20 03:08:00,0.90425,1.1843,1.30966
